Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Sep 11 2020,18:30,Austria Lustenau,1-1,1-0,SV Horn
1,Fri Sep 11 2020,18:30,Floridsdorfer AC,1-2,0-0,SV Lafnitz
1,Fri Sep 11 2020,18:30,Kapfenberger SV,0-3,0-3,FC Wacker Innsbruck
1,Fri Sep 11 2020,18:30,SK Austria Klagenfurt,3-1,2-1,FC Blau Weiß Linz
1,Sat Sep 12 2020,20:00,Grazer AK,0-1,0-0,FC Dornbirn
1,Sat Sep 12 2020,14:30,FC Juniors OÖ,1-1,1-1,Young Violets
1,Sun Sep 13 2020,12:30,FC Liefering,3-0,2-0,Rapid Wien II
1,Sun Sep 13 2020,10:30,SKU Amstetten,2-2,1-0,Vorwärts Steyr
2,Fri Sep 18 2020,18:30,Young Violets,2-4,0-1,Grazer AK
2,Fri Sep 18 2020,18:30,FC Wacker Innsbruck,0-0,0-0,Floridsdorfer AC
2,Fri Sep 18 2020,18:30,Vorwärts Steyr,0-3,0-2,Kapfenberger SV
2,Fri Sep 18 2020,18:30,FC Dornbirn,1-1,0-0,SK Austria Klagenfurt
2,Fri Sep 18 2020,18:30,Rapid Wien II,1-1,1-1,FC Juniors OÖ
2,Fri Sep 18 2020,20:25,SV Lafnitz,2-2,2-2,SKU Amstetten
2,Sat Sep 19 2020,20:25,SV Horn,2-4,1-2,FC Liefering
2,Sun Sep 20 2020,10:30,FC Blau Weiß Linz,5-2,4-1,Austria Lustenau
3,Fri Sep 25 2020,18:30,SK Austria Klagenfurt,3-2,0-0,Young Violets
3,Fri Sep 25 2020,18:30,FC Liefering,2-0,0-0,FC Wacker Innsbruck
3,Fri Sep 25 2020,18:30,SV Horn,0-1,0-1,SV Lafnitz
3,Fri Sep 25 2020,18:30,Kapfenberger SV,2-4,0-2,FC Blau Weiß Linz
3,Fri Sep 25 2020,20:25,Grazer AK,0-1,0-1,Vorwärts Steyr
3,Sat Sep 26 2020,20:00,SKU Amstetten,3-3,3-0,FC Dornbirn
3,Sat Sep 26 2020,14:00,Austria Lustenau,0-1,0-0,FC Juniors OÖ
3,Sun Sep 27 2020,10:30,Rapid Wien II,2-3,1-1,Floridsdorfer AC
4,Tue Sep 29 2020,18:30,Young Violets,1-2,1-0,SV Horn
4,Tue Sep 29 2020,18:30,SV Lafnitz,0-1,0-0,Grazer AK
4,Tue Sep 29 2020,18:30,FC Juniors OÖ,1-1,0-1,FC Liefering
4,Tue Sep 29 2020,18:30,FC Blau Weiß Linz,2-0,0-0,SKU Amstetten
4,Tue Sep 29 2020,20:25,FC Wacker Innsbruck,0-0,0-0,Austria Lustenau
4,Wed Sep 30 2020,18:30,Floridsdorfer AC,4-0,4-0,Kapfenberger SV
4,Wed Sep 30 2020,20:25,Vorwärts Steyr,2-2,0-2,SK Austria Klagenfurt
4,Wed Sep 30 2020,18:30,FC Dornbirn,1-2,0-2,Rapid Wien II
5,Fri Oct 2 2020,18:30,FC Liefering,1-1,0-0,Grazer AK
5,Fri Oct 2 2020,18:30,SV Horn,1-1,0-1,FC Juniors OÖ
