Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Sep 18 2020,17:45,1. FC Kaiserslautern,0-1,0-1,Dynamo Dresden
1,Sat Sep 19 2020,14:00,Bayern München II,2-2,1-1,Türkgücü München
1,Sat Sep 19 2020,14:00,Hansa Rostock,3-1,0-1,MSV Duisburg
1,Sat Sep 19 2020,14:00,SV Meppen,1-3,0-1,TSV 1860 München
1,Sat Sep 19 2020,14:00,FSV Zwickau,2-1,1-0,SpVgg Unterhaching
1,Sat Sep 19 2020,14:00,SV Wehen Wiesbaden,0-0,0-0,SC Verl
1,Sat Sep 19 2020,14:00,VfB Lübeck,1-1,1-0,1. FC Saarbrücken
1,Sun Sep 20 2020,14:00,1. FC Magdeburg,0-2,0-2,Hallescher FC
1,Sun Sep 20 2020,13:00,FC Ingolstadt 04,2-1,1-0,KFC Uerdingen 05
1,Mon Sep 21 2020,19:00,Waldhof Mannheim,2-2,2-0,Viktoria Köln
2,Fri Sep 25 2020,19:00,SpVgg Unterhaching,1-0,1-0,VfB Lübeck
2,Sat Sep 26 2020,14:00,MSV Duisburg,1-1,0-0,FSV Zwickau
2,Sat Sep 26 2020,14:00,Viktoria Köln,0-2,0-1,SV Wehen Wiesbaden
2,Sat Sep 26 2020,14:00,1. FC Saarbrücken,2-0,1-0,Hansa Rostock
2,Sat Sep 26 2020,14:00,SC Verl,3-0,2-0,Bayern München II
2,Sat Sep 26 2020,14:00,TSV 1860 München,1-1,0-0,1. FC Magdeburg
2,Sat Sep 26 2020,14:00,Hallescher FC,0-2,0-0,FC Ingolstadt 04
2,Sun Sep 27 2020,14:00,Türkgücü München,3-0,2-0,1. FC Kaiserslautern
2,Sun Sep 27 2020,13:00,Dynamo Dresden,1-1,0-1,Waldhof Mannheim
2,Mon Sep 28 2020,19:00,KFC Uerdingen 05,0-2,0-1,SV Meppen
3,Fri Oct 2 2020,19:00,Bayern München II,3-0,2-0,Dynamo Dresden
3,Sat Oct 3 2020,14:00,SV Meppen,1-2,0-2,SC Verl
3,Sat Oct 3 2020,14:00,1. FC Magdeburg,0-2,0-2,Viktoria Köln
3,Sat Oct 3 2020,14:00,FSV Zwickau,1-2,1-1,TSV 1860 München
3,Sat Oct 3 2020,14:00,FC Ingolstadt 04,0-1,0-0,SpVgg Unterhaching
3,Sat Oct 3 2020,14:00,Waldhof Mannheim,4-4,2-2,Türkgücü München
3,Sat Oct 3 2020,14:00,VfB Lübeck,1-1,0-0,MSV Duisburg
3,Sun Oct 4 2020,14:00,1. FC Saarbrücken,4-0,2-0,Hallescher FC
3,Sun Oct 4 2020,13:00,Hansa Rostock,0-0,0-0,KFC Uerdingen 05
3,Mon Oct 5 2020,19:00,SV Wehen Wiesbaden,2-2,2-0,1. FC Kaiserslautern
4,Sat Oct 10 2020,14:00,1. FC Kaiserslautern,1-1,0-1,Waldhof Mannheim
4,Sat Oct 10 2020,14:00,TSV 1860 München,4-1,2-1,VfB Lübeck
4,Sat Oct 10 2020,14:00,KFC Uerdingen 05,1-1,0-0,Bayern München II
4,Sat Oct 10 2020,14:00,SC Verl,2-3,1-3,Hansa Rostock
4,Sat Oct 10 2020,14:00,Türkgücü München,0-0,0-0,SV Wehen Wiesbaden
4,Sat Oct 10 2020,14:00,Dynamo Dresden,1-0,0-0,1. FC Magdeburg
4,Sun Oct 11 2020,14:00,Viktoria Köln,2-0,1-0,FC Ingolstadt 04
4,Sun Oct 11 2020,13:00,SpVgg Unterhaching,2-1,1-1,SV Meppen
4,Mon Oct 12 2020,19:00,Hallescher FC,0-2,0-1,FSV Zwickau
5,Fri Oct 16 2020,19:00,1. FC Magdeburg,2-0,1-0,Türkgücü München
