Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Sep 11 2020,20:45,Eintracht Braunschweig,5-4,3-2,Hertha BSC,,
1. Runde,Fri Sep 11 2020,20:45,TSV Havelse,1-5,1-0,1. FSV Mainz 05,,
1. Runde,Sat Sep 12 2020,15:30,1. FC Nürnberg,0-3,0-1,RB Leipzig,,
1. Runde,Sat Sep 12 2020,15:30,SV Todesfelde,0-1,0-0,VfL Osnabrück,,
1. Runde,Sat Sep 12 2020,15:30,TSV 1860 München,1-2,0-0,Eintracht Frankfurt,,
1. Runde,Sat Sep 12 2020,15:30,MTV Eintracht Celle,0-7,0-2,FC Augsburg,,
1. Runde,Sat Sep 12 2020,15:30,FV Engers 07,0-3,0-1,VfL Bochum,,
1. Runde,Sat Sep 12 2020,15:30,Union Fürstenwalde,1-4,1-2,VfL Wolfsburg,,
1. Runde,Sat Sep 12 2020,15:30,FC Oberneuland,0-8,0-5,Bor. Mönchengladbach,,
1. Runde,Sat Sep 12 2020,15:30,RSV Meinerzhagen,1-1,0-0,SpVgg Greuther Fürth,1-6,
1. Runde,Sat Sep 12 2020,15:30,VSG Altglienicke,0-6,0-3,1. FC Köln,,
1. Runde,Sat Sep 12 2020,18:30,SSV Ulm 1846,2-0,1-0,Erzgebirge Aue,,
1. Runde,Sat Sep 12 2020,18:30,FC Ingolstadt 04,0-1,0-0,Fortuna Düsseldorf,,
1. Runde,Sat Sep 12 2020,18:30,Karlsruher SC,0-0,0-0,1. FC Union Berlin,0-1,
1. Runde,Sat Sep 12 2020,20:45,FC Carl Zeiss Jena,0-2,0-0,Werder Bremen,,
1. Runde,Sun Sep 13 2020,15:30,Chemnitzer FC,1-1,0-0,1899 Hoffenheim,2-2,2-3
1. Runde,Sun Sep 13 2020,15:30,1. FC Rielasingen-Arlen,1-7,1-5,Holstein Kiel,,
1. Runde,Sun Sep 13 2020,15:30,Hansa Rostock,0-1,0-1,VfB Stuttgart,,
1. Runde,Sun Sep 13 2020,15:30,TSV Steinbach Haiger,1-2,1-2,SV Sandhausen,,
1. Runde,Sun Sep 13 2020,15:30,SV 07 Elversberg,4-2,2-1,FC St. Pauli,,
1. Runde,Sun Sep 13 2020,15:30,Eintracht Norderstedt,0-7,0-6,Bayer Leverkusen,,
1. Runde,Sun Sep 13 2020,15:30,1. FC Kaiserslautern,1-1,0-1,Jahn Regensburg,1-1,3-4
