Stage,Round,Date,Time,Team 1,FT,HT,Team 2,Comments
Grunddurchgang,1,Fri Sep 11 2020,18:30,Rapid Wien,4-1,2-0,FC Admira Wacker,
Grunddurchgang,1,Fri Sep 11 2020,20:30,LASK,1-0,1-0,Austria Wien,
Grunddurchgang,1,Sat Sep 12 2020,17:00,SCR Altach,1-1,1-0,TSV Hartberg,
Grunddurchgang,1,Sun Sep 13 2020,14:30,SV Ried,3-2,1-2,WSG Tirol,
Grunddurchgang,1,Sun Sep 13 2020,14:30,SKN St. Pölten,0-0,0-0,Sturm Graz,
Grunddurchgang,1,Sun Sep 13 2020,17:00,Wolfsberger AC,1-3,0-2,RB Salzburg,
Grunddurchgang,2,Sat Sep 19 2020,17:00,RB Salzburg,4-1,2-1,SCR Altach,
Grunddurchgang,2,Sat Sep 19 2020,17:00,WSG Tirol,1-1,1-1,LASK,
Grunddurchgang,2,Sat Sep 19 2020,17:00,Sturm Graz,1-1,0-0,Rapid Wien,
Grunddurchgang,2,Sun Sep 20 2020,14:30,TSV Hartberg,0-2,0-0,Wolfsberger AC,
Grunddurchgang,2,Sun Sep 20 2020,14:30,FC Admira Wacker,0-5,0-4,SKN St. Pölten,
Grunddurchgang,2,Sun Sep 20 2020,17:00,Austria Wien,2-1,1-0,SV Ried,
Grunddurchgang,3,Sat Sep 26 2020,17:00,SCR Altach,0-2,0-1,WSG Tirol,
Grunddurchgang,3,Sat Sep 26 2020,17:00,SKN St. Pölten,1-2,1-2,Rapid Wien,
Grunddurchgang,3,Sat Sep 26 2020,17:00,SV Ried,1-3,0-1,RB Salzburg,
Grunddurchgang,3,Sun Sep 27 2020,14:30,Austria Wien,2-2,1-1,FC Admira Wacker,
Grunddurchgang,3,Sun Sep 27 2020,14:30,TSV Hartberg,1-1,0-1,Sturm Graz,
Grunddurchgang,3,Sun Sep 27 2020,17:00,LASK,3-1,1-0,Wolfsberger AC,
Grunddurchgang,4,Sat Oct 3 2020,17:00,FC Admira Wacker,3-1,2-0,SV Ried,
Grunddurchgang,4,Sat Oct 3 2020,17:00,WSG Tirol,0-2,0-0,Austria Wien,
Grunddurchgang,4,Sat Oct 3 2020,17:00,Wolfsberger AC,2-4,1-3,SKN St. Pölten,
Grunddurchgang,4,Sun Oct 4 2020,14:30,Sturm Graz,4-0,3-0,SCR Altach,
Grunddurchgang,4,Sun Oct 4 2020,14:30,RB Salzburg,7-1,2-0,TSV Hartberg,
Grunddurchgang,4,Sun Oct 4 2020,17:00,Rapid Wien,3-0,2-0,LASK,
Grunddurchgang,5,Sat Oct 24 2020,17:00,Austria Wien,0-2,0-0,RB Salzburg,
Grunddurchgang,5,Sat Oct 24 2020,17:00,SCR Altach,4-2,2-1,FC Admira Wacker,
Grunddurchgang,5,Sat Oct 24 2020,17:00,SV Ried,0-2,0-1,Sturm Graz,
Grunddurchgang,5,Sun Oct 25 2020,14:30,LASK,4-0,1-0,SKN St. Pölten,
Grunddurchgang,5,Sun Oct 25 2020,14:30,WSG Tirol,1-1,1-0,TSV Hartberg,
Grunddurchgang,5,Sun Oct 25 2020,17:00,Wolfsberger AC,3-4,0-2,Rapid Wien,
Grunddurchgang,6,Sat Oct 31 2020,17:00,RB Salzburg,5-0,2-0,WSG Tirol,
Grunddurchgang,6,Sat Oct 31 2020,17:00,TSV Hartberg,2-1,1-1,Austria Wien,
Grunddurchgang,6,Sat Oct 31 2020,17:00,SKN St. Pölten,4-0,2-0,SV Ried,
Grunddurchgang,6,Sun Nov 1 2020,14:30,Rapid Wien,3-1,1-0,SCR Altach,
Grunddurchgang,6,Sun Nov 1 2020,14:30,FC Admira Wacker,1-3,0-3,Wolfsberger AC,
Grunddurchgang,6,Sun Nov 1 2020,17:00,Sturm Graz,0-2,0-1,LASK,
