Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
Apertura,1,Fri Jul 20 2018,21:00,CDT/-0500,Atlas Guadalajara,0-0,0-0,Gallos Blancos,2018-07-21T02:00Z
Apertura,1,Fri Jul 20 2018,19:00,CDT/-0500,CD Veracruz,0-2,0-2,Pumas UNAM,2018-07-21T00:00Z
Apertura,1,Sat Jul 21 2018,17:00,CDT/-0500,Cruz Azul,3-0,0-0,Puebla FC,2018-07-21T22:00Z
Apertura,1,Sat Jul 21 2018,19:00,CDT/-0500,CF Pachuca,0-1,0-0,CF Monterrey,2018-07-22T00:00Z
Apertura,1,Sat Jul 21 2018,21:00,CDT/-0500,UANL Tigres,2-0,1-0,Club León,2018-07-22T02:00Z
Apertura,1,Sat Jul 21 2018,21:00,CDT/-0500,Club Tijuana,2-1,0-0,Deportivo Guadalajara,2018-07-22T02:00Z
Apertura,1,Sun Jul 22 2018,18:00,CDT/-0500,Santos Laguna,2-1,0-1,Lobos BUAP,2018-07-22T23:00Z
Apertura,1,Sun Jul 22 2018,20:00,CDT/-0500,Club Necaxa,2-1,1-0,CF América,2018-07-23T01:00Z
Apertura,1,Sun Jul 22 2018,12:00,CDT/-0500,Deportivo Toluca,2-0,0-0,Monarcas Morelia,2018-07-22T17:00Z
Apertura,2,Fri Jul 27 2018,19:00,CDT/-0500,Monarcas Morelia,3-1,0-0,Santos Laguna,2018-07-28T00:00Z
Apertura,2,Fri Jul 27 2018,21:00,CDT/-0500,Puebla FC,2-1,2-1,Deportivo Toluca,2018-07-28T02:00Z
Apertura,2,Sat Jul 28 2018,19:00,CDT/-0500,CF América,3-0,2-0,Atlas Guadalajara,2018-07-29T00:00Z
Apertura,2,Sat Jul 28 2018,21:06,CDT/-0500,Deportivo Guadalajara,0-1,0-0,Cruz Azul,2018-07-29T02:06Z
Apertura,2,Sat Jul 28 2018,17:00,CDT/-0500,Gallos Blancos,1-0,0-0,CF Pachuca,2018-07-28T22:00Z
Apertura,2,Sun Jul 29 2018,16:00,CDT/-0500,Lobos BUAP,2-0,1-0,CD Veracruz,2018-07-29T21:00Z
Apertura,2,Sun Jul 29 2018,18:00,CDT/-0500,UANL Tigres,1-0,0-0,Club Tijuana,2018-07-29T23:00Z
Apertura,2,Sun Jul 29 2018,20:00,CDT/-0500,Club León,0-2,0-0,CF Monterrey,2018-07-30T01:00Z
Apertura,2,Sun Jul 29 2018,12:00,CDT/-0500,Pumas UNAM,5-3,1-1,Club Necaxa,2018-07-29T17:00Z
Apertura,3,Fri Aug 3 2018,19:00,CDT/-0500,CD Veracruz,2-2,1-1,Monarcas Morelia,2018-08-04T00:00Z
Apertura,3,Fri Aug 3 2018,21:00,CDT/-0500,Atlas Guadalajara,0-3,0-2,Pumas UNAM,2018-08-04T02:00Z
Apertura,3,Sat Aug 4 2018,19:00,CDT/-0500,CF Pachuca,1-3,0-1,CF América,2018-08-05T00:00Z
Apertura,3,Sat Aug 4 2018,21:00,CDT/-0500,Cruz Azul,1-0,0-0,UANL Tigres,2018-08-05T02:00Z
Apertura,3,Sat Aug 4 2018,21:06,CDT/-0500,CF Monterrey,2-1,1-1,Gallos Blancos,2018-08-05T02:06Z
Apertura,3,Sat Aug 4 2018,17:00,CDT/-0500,Club Necaxa,1-0,0-0,Lobos BUAP,2018-08-04T22:00Z
Apertura,3,Sun Aug 5 2018,12:00,CDT/-0500,Deportivo Toluca,2-2,1-1,Deportivo Guadalajara,2018-08-05T17:00Z
Apertura,3,Sun Aug 5 2018,18:00,CDT/-0500,Santos Laguna,2-0,1-0,Puebla FC,2018-08-05T23:00Z
Apertura,3,Sun Aug 5 2018,20:06,CDT/-0500,Club Tijuana,1-1,0-0,Club León,2018-08-06T01:06Z
Apertura,4,Fri Aug 10 2018,21:00,CDT/-0500,Monarcas Morelia,2-1,1-0,Club Necaxa,2018-08-11T02:00Z
Apertura,4,Fri Aug 10 2018,19:00,CDT/-0500,Puebla FC,1-2,0-0,CD Veracruz,2018-08-11T00:00Z
Apertura,4,Sat Aug 11 2018,17:00,CDT/-0500,Lobos BUAP,0-0,0-0,Atlas Guadalajara,2018-08-11T22:00Z
Apertura,4,Sat Aug 11 2018,19:00,CDT/-0500,Club León,4-0,2-0,Gallos Blancos,2018-08-12T00:00Z
Apertura,4,Sat Aug 11 2018,19:00,CDT/-0500,UANL Tigres,1-2,1-0,Deportivo Toluca,2018-08-12T00:00Z
Apertura,4,Sat Aug 11 2018,21:00,CDT/-0500,CF América,3-0,1-0,CF Monterrey,2018-08-12T02:00Z
Apertura,4,Sun Aug 12 2018,18:00,CDT/-0500,Deportivo Guadalajara,1-2,1-1,Santos Laguna,2018-08-12T23:00Z
Apertura,4,Sun Aug 12 2018,20:06,CDT/-0500,Club Tijuana,1-1,0-0,Cruz Azul,2018-08-13T01:06Z
Apertura,4,Sun Aug 12 2018,16:00,CDT/-0500,Pumas UNAM,0-0,0-0,CF Pachuca,2018-08-12T21:00Z
Apertura,5,Fri Aug 17 2018,21:00,CDT/-0500,Atlas Guadalajara,0-1,0-1,Monarcas Morelia,2018-08-18T02:00Z
